No,Heading Font,Body Font,Mood,Best For,Google Fonts Import,Heading Weight,Body Weight,Line Height,Letter Spacing Notes
1,Inter,Inter,Modern neutral,Enterprise apps dashboards SaaS,https://fonts.google.com/share?selection.family=Inter,600-700,400-500,1.5-1.7,Default tracking works well
2,Playfair Display,Lora,Elegant editorial,Luxury brands editorial magazines,https://fonts.google.com/share?selection.family=Playfair+Display|Lora,700,400,1.6,Heading needs slight negative tracking
3,Montserrat,Open Sans,Clean professional,Corporate sites B2B SaaS,https://fonts.google.com/share?selection.family=Montserrat|Open+Sans,600-700,400,1.5,Default tracking
4,Poppins,Roboto,Modern friendly,Startups consumer apps,https://fonts.google.com/share?selection.family=Poppins|Roboto,600-700,400,1.5,Slight tracking on headings
5,DM Sans,DM Sans,Cohesive minimal,Modern web apps portfolios,https://fonts.google.com/share?selection.family=DM+Sans,500-700,400,1.5,Default tracking
6,Space Grotesk,Inter,Tech modern,Developer tools tech products,https://fonts.google.com/share?selection.family=Space+Grotesk|Inter,500-700,400,1.5,Monospace feel headings
7,Cormorant Garamond,Montserrat,Elegant luxury,Wellness beauty premium services,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Montserrat,600,400,1.6,Heading needs tight tracking
8,Archivo,Source Sans Pro,Strong geometric,Bold brands agencies,https://fonts.google.com/share?selection.family=Archivo|Source+Sans+Pro,700,400,1.5,Default tracking
9,Sora,Inter,Clean modern,SaaS dashboards tech,https://fonts.google.com/share?selection.family=Sora|Inter,600-700,400,1.5,Default tracking
10,Plus Jakarta Sans,Plus Jakarta Sans,Cohesive friendly,Consumer apps startups,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans,600-700,400,1.5,Default tracking
11,Clash Display,Satoshi,Bold contemporary,Creative agencies portfolios,https://fonts.google.com/share?selection.family=Clash+Display,700,400,1.4,Needs custom import
12,Fraunces,Commissioner,Quirky elegant,Brands creative studios,https://fonts.google.com/share?selection.family=Fraunces|Commissioner,700,400,1.6,Variable font optical size
13,Syne,Work Sans,Bold expressive,Creative projects music,https://fonts.google.com/share?selection.family=Syne|Work+Sans,700,400,1.5,Heading has wide tracking
14,General Sans,General Sans,Versatile clean,Modern web any project,https://fonts.google.com/share?selection.family=General+Sans,500-700,400,1.5,Needs custom import
15,Satoshi,Satoshi,Modern geometric,Tech startups SaaS,https://fonts.google.com/share?selection.family=Satoshi,500-700,400,1.5,Needs custom import
16,Manrope,Manrope,Soft geometric,Healthcare wellness apps,https://fonts.google.com/share?selection.family=Manrope,600-800,400,1.5,Default tracking
17,Outfit,Outfit,Clean geometric,Modern apps portfolios,https://fonts.google.com/share?selection.family=Outfit,600-700,400,1.5,Default tracking
18,Albert Sans,Albert Sans,Minimal geometric,Minimalist sites docs,https://fonts.google.com/share?selection.family=Albert+Sans,500-700,400,1.5,Default tracking
19,Bricolage Grotesque,Inter,Bold character,Creative agencies brands,https://fonts.google.com/share?selection.family=Bricolage+Grotesque|Inter,700,400,1.5,Variable font
20,Instrument Serif,Inter,Modern editorial,Editorial luxury brands,https://fonts.google.com/share?selection.family=Instrument+Serif|Inter,400,400,1.6,Serif heading sans body
21,Libre Baskerville,Source Sans Pro,Classic editorial,News blogs legal,https://fonts.google.com/share?selection.family=Libre+Baskerville|Source+Sans+Pro,700,400,1.7,Classic serif pairing
22,Merriweather,Open Sans,Readable serif,Long-form content blogs,https://fonts.google.com/share?selection.family=Merriweather|Open+Sans,700,400,1.7,Optimized for reading
23,Lora,Source Sans Pro,Elegant readable,Editorial blogs magazines,https://fonts.google.com/share?selection.family=Lora|Source+Sans+Pro,600,400,1.6,Serif heading sans body
24,Nunito,Open Sans,Rounded friendly,Children apps education,https://fonts.google.com/share?selection.family=Nunito|Open+Sans,700,400,1.5,Rounded terminals
25,Quicksand,Work Sans,Rounded modern,Wellness lifestyle apps,https://fonts.google.com/share?selection.family=Quicksand|Work+Sans,600,400,1.5,Geometric rounded
26,Rubik,Inter,Geometric modern,Tech products SaaS,https://fonts.google.com/share?selection.family=Rubik|Inter,500-700,400,1.5,Slightly rounded corners
27,Space Mono,Inter,Monospace tech,Developer tools code,https://fonts.google.com/share?selection.family=Space+Mono|Inter,700,400,1.5,Monospace heading
28,JetBrains Mono,Inter,Code focused,IDE code editors,https://fonts.google.com/share?selection.family=JetBrains+Mono|Inter,700,400,1.5,Monospace for code
29,IBM Plex Sans,IBM Plex Serif,Corporate IBM,Enterprise corporate,https://fonts.google.com/share?selection.family=IBM+Plex+Sans|IBM+Plex+Serif,600,400,1.5,IBM design system
30,Roboto Slab,Roboto,Modern slab,News content-heavy,https://fonts.google.com/share?selection.family=Roboto+Slab|Roboto,700,400,1.5,Slab heading sans body
31,Abril Fatface,Poppins,Bold display,Fashion luxury hero,https://fonts.google.com/share?selection.family=Abril+Fatface|Poppins,400,400,1.4,Display heading only
32,Righteous,Inter,Retro bold,Gaming entertainment,https://fonts.google.com/share?selection.family=Righteous|Inter,400,400,1.4,Retro display heading
33,Bebas Neue,Montserrat,Ultra bold,Impact headlines events,https://fonts.google.com/share?selection.family=Bebas+Neue|Montserrat,400,400,1.3,Condensed display
34,Oswald,Open Sans,Condensed strong,News sports strong brands,https://fonts.google.com/share?selection.family=Oswald|Open+Sans,600-700,400,1.4,Condensed uppercase
35,Raleway,Merriweather,Elegant thin,Luxury fashion premium,https://fonts.google.com/share?selection.family=Raleway|Merriweather,600,400,1.6,Thin elegant heading
36,Josefin Sans,Lora,Geometric retro,Creative vintage brands,https://fonts.google.com/share?selection.family=Josefin+Sans|Lora,600,400,1.5,Retro geometric
37,Archivo Black,Inter,Heavy impact,Bold statements CTAs,https://fonts.google.com/share?selection.family=Archivo+Black|Inter,400,400,1.3,Black weight display
38,Bitter,Source Sans Pro,Slab readable,Long-form content blogs,https://fonts.google.com/share?selection.family=Bitter|Source+Sans+Pro,700,400,1.6,Slab serif readable
39,Cabin,Open Sans,Friendly geometric,Friendly apps startups,https://fonts.google.com/share?selection.family=Cabin|Open+Sans,600-700,400,1.5,Humanist sans
40,Karla,Inter,Grotesque character,Creative modern web,https://fonts.google.com/share?selection.family=Karla|Inter,700,400,1.5,Grotesque sans
41,PT Serif,PT Sans,Professional Russian,International corporate,https://fonts.google.com/share?selection.family=PT+Serif|PT+Sans,700,400,1.6,Professional pairing
42,Fira Sans,Fira Code,Mozilla tech,Developer tools docs,https://fonts.google.com/share?selection.family=Fira+Sans|Fira+Code,600,400,1.5,Mozilla design
43,Barlow,Barlow Semi Condensed,Versatile industrial,Industrial tech products,https://fonts.google.com/share?selection.family=Barlow|Barlow+Semi+Condensed,600-700,400,1.5,Industrial feel
44,Red Hat Display,Red Hat Text,Modern brand,Brand sites marketing,https://fonts.google.com/share?selection.family=Red+Hat+Display|Red+Hat+Text,700,400,1.5,Red Hat brand
45,Epilogue,Inter,Modern variable,Modern apps variable font,https://fonts.google.com/share?selection.family=Epilogue|Inter,600-700,400,1.5,Variable font
46,Atkinson Hyperlegible,Atkinson Hyperlegible,Accessible focused,Accessibility-first products,https://fonts.google.com/share?selection.family=Atkinson+Hyperlegible,700,400,1.6,Designed for low vision
47,Geist,Geist Mono,Vercel modern,Developer tools modern web,https://fonts.google.com/share?selection.family=Geist,600-700,400,1.5,Needs custom import
48,Lexend,Open Sans,Readable dyslexia,Education accessibility,https://fonts.google.com/share?selection.family=Lexend|Open+Sans,600,400,1.6,Designed for readability
49,Newsreader,Inter,Editorial serif,News editorial magazines,https://fonts.google.com/share?selection.family=Newsreader|Inter,600,400,1.6,Editorial serif
50,Vollkorn,Open Sans,Classic serif,Academic legal editorial,https://fonts.google.com/share?selection.family=Vollkorn|Open+Sans,700,400,1.7,Classic readable serif
51,Spectral,Inter,Modern serif,Editorial content blogs,https://fonts.google.com/share?selection.family=Spectral|Inter,600,400,1.6,Screen-optimized serif
52,Crimson Pro,Inter,Elegant serif,Academic editorial,https://fonts.google.com/share?selection.family=Crimson+Pro|Inter,600,400,1.6,Classical proportions
53,Bitter,Inter,Slab modern,Content-heavy sites,https://fonts.google.com/share?selection.family=Bitter|Inter,700,400,1.6,Slab for reading
54,Catamaran,Inter,Clean Indian,SaaS with international audience,https://fonts.google.com/share?selection.family=Catamaran|Inter,600-700,400,1.5,Supports many scripts
55,Hind,Inter,Devanagari Latin,International products,https://fonts.google.com/share?selection.family=Hind|Inter,600,400,1.5,Multi-script support
56,Noto Sans,Noto Serif,Universal,International multi-language,https://fonts.google.com/share?selection.family=Noto+Sans|Noto+Serif,600-700,400,1.5,All languages supported
57,Mulish,Inter,Round friendly,Consumer apps friendly brands,https://fonts.google.com/share?selection?family=Mulish|Inter,600-700,400,1.5,Rounded friendly feel
